pat_id,title,total_sentences,key_verbs,key_nouns,technical_terms,causal_words_and_terms,failure_terms,variable_terms,primary_failure_pathways,verb_action_pathways
EP-0066898-B1,METHOD AND APPARATUS FOR TREATING HYDROCARBON AND HALOGENATED HYDROCARBON CONTAMINATED GROUND AND GROUND WATER,18,"mix, operate, endanger, retard, stimulate, include, dewatere, pip, pump, surround, travel, dimension, recirculate, biodegrade, remove, flush, retain, avoid, take, use, spread, settle, show, affect, isolate, contaminate, accelerate, treat, dissolve, contain, hold, connect, increase, provide, remain, introduce, embody, dispose, comprise, depict, position, allow, rise, filter, monitor, flow, occur, control, generate, activate, indicate, add","line, biodegradation, structure, water, level, pump, nutrient, process, vessel, injection, aspirator, well, apparatus, header, bacteria, biostimulation, action, growth, activity, aeration, recirculation, pond, reinjection, settling, contamination, depth, order, temperature, microorganism, product, time, situation, gradient, contaminant, soil, trench, movement, application, addition, area, method, amount, treatment, pumping, gas, mean, site, point, supply, ground, direction, hydrocarbon, term, rate, system, spill, flow, condition, count, tank, object, pipe, oxygen, containment, material","pipeline, holding tank, pump, vessel, drain, tank","thus, pumped from, generated by, therefore, common, increases, may, increase, used to, monitoring, via, remove, affected, isolated from, thereby","contaminants, contamination, add","water level, gradient, temperature","tank ➔ [via] ➔ contamination (x1), pump ➔ [via] ➔ contamination (x1), drain ➔ [via] ➔ contamination (x1)","[CONTAIN] ➔ tank ➔ contamination (x1), [CONTAIN] ➔ pump ➔ contamination (x1), [CONTAIN] ➔ drain ➔ contamination (x1)"
EP-0068760-B1,MAGNETIC WATER-CONDITIONING DEVICE,5,"deposit, disassemble, see, remove, cup, close, correspond, have, show, find, eliminate, treat, permit, machine, describe, increase, cooperate, stop, pass, house, reduce, insulate, depict, accommodate, exist","region, water, conditioning, embodiment, deposit, conditioner, valve, gauss, seat, unit, cup, way, magnet, construction, housing, device, order, force, interface, reduction, conduit, figure, flux, corrosion, advantage, face, scale, rate, adjustment, installation, flow, gap, effect, mean, field","conduit, valve","corresponding to, prior to, effect of, thereby","deposits, corrosion",,No sentence-level triplet found,No verb-component-failure triplet found
EP-0069136-B1,INSTALLATION FOR SPREADING CLAY MUDS FOR REHABILITATING SOILS,4,"convey, locate, say, push, feed, dilute, separate, direct, spread, settle, receive, flocculate, arrive, lay, pour, decant, relate, characterize, inject, prepare, comprise, lead, filter, release, carry, effect, send, thicken, add, extract","line, level, water, dose, member, vicinity, pump, end, base, place, mixture, concentration, mud, clay, settling, element, ten, device, discharge, extraction, reserve, meter, agent, channel, layer, spreading, addition, bottom, area, sludge, point, harvesting, ground, table, installation, invention, pipe, tank, field, pouring","dam, tank, pump","therefore, leads to, receive, via",,clay,No sentence-level triplet found,No verb-component-failure triplet found
EP-0069220-B1,APPARATUS FOR WASTE WATER PURIFICATION,13,"obtain, perforate, end, characterise, distribute, accumulate, drive, situate, construct, require, span, begin, avoid, take, use, incline, fill, fall, leave, settle, become, discharge, refer, clean, follow, know, consist, associate, stagger, describe, contain, arrange, repeat, emerge, connect, provide, restrict, pass, prevent, introduce, supply, divide, maintain, comprise, fluidize, lead, swirl, flow, carry, generate, extend","wall, distance, transfer, space, process, respect, half, contact, way, basis, opening, order, ventilation, reaction, channel, perforation, amount, distribution, substance, flow, floor, bed, waste, base, vessel, apparatus, succession, energy, purification, liquid, time, pressure, air, area, treatment, point, part, serie, pipe, object, wastewater, tank, overflow, destruction, tube, basin, top, nozzle, device, riser, abrasion, length, mass, shape, invention, particle, presence, outlet, width, catalyst, level, water, end, disadvantage, place, oxidation, facility, cleaning, aeration, uptake, inlet, temperature, edge, bottom, diving, example, gas, container, chamber, partition, oxygen, mean","reaction basin, aerator, perforated pipe, pump, vessel, inlet, nozzle, riser, tank, basin, chamber","thus, becomes, therefore, shape, requires, introduced into, associated with, due to, via, to prevent",oxidation,"bed, temperature","chamber ➔ [associated with] ➔ oxidation (x1), vessel ➔ [associated with] ➔ oxidation (x1), perforated pipe ➔ [associated with] ➔ oxidation (x1)","[CONTAIN] ➔ chamber ➔ oxidation (x2), [ASSOCIATE] ➔ chamber ➔ oxidation (x1), [ASSOCIATE] ➔ vessel ➔ oxidation (x1)"
EP-0070989-B1,PROCESS AND APPARATUS FOR THE VOLUME REDUCTION OF PRESSURIZED WATER REACTOR LIQUID WASTES,15,"reside, transfer, define, immobilize, enter, include, discontinue, space, say, effect, boil, disperse, remove, drive, draw, flash, form, inhibit, conserve, evaporate, separate, have, fill, leave, enclose, settle, circulate, show, become, illustrate, ensure, encounter, cool, dry, eliminate, approach, accord, know, permit, apply, cause, contain, characterize, provide, increase, stabilize, introduce, maintain, dispose, reduce, comprise, vaporise, compensate, promote, perform, adjust, occur, predetermine, generate, mean, baffle, disclose","wall, zone, solute, relation, pump, process, volume, vapor, body, leaching, order, discharge, result, portion, solubility, amount, difficulty, circulation, egress, system, flow, solvent, fluid, condition, surface, fouling, waste, sulfate, sodium, vessel, apparatus, acid, na, energy, monitoring, heat, interface, reduction, liquid, formation, charge, withdrawal, solution, point, evaporator, cooling, curve, pipe, object, crystal, tion, valve, carrier, unit, vacuum, side, concentration, loss, settling, view, agent, exchanger, solidification, method, ciiculation, crystailiza, claim, invention, particle, supersaturation, introduction, line, level, water, means, apex, crystallization, slurry, communication, ph, freeze, temperature, range, bottom, figure, steam, chamber, packaging, control, plant, mean","discharge line, control valve, flow control valve, holding tank, pump, heat exchanger, vessel, tank, drain, chamber","while, inhibiting, as a result, becomes, increases, introduced into, increase, may, can occur, monitoring, via","leaching, fouling, scaling, corrosion","precipitation, temperature","tank ➔ [becomes] ➔ fouling (x1), tank ➔ [can occur] ➔ fouling (x1), chamber ➔ [becomes] ➔ fouling (x1)","[BECOME] ➔ tank ➔ fouling (x1), [BECOME] ➔ chamber ➔ fouling (x1), [BECOME] ➔ drain ➔ fouling (x1)"
EP-0071339-B1,METHOD OF PROVIDING EARTH COVERING USEFUL FOR WATER HARVESTING,11,"need, line, underlie, base, transport, prefer, use, smooth, bond, suffer, coat, treat, apply, soak, increase, prevent, withstand, yield, prepare, impregnate, allow, clear, flow, lie, carry, irrigate","crop, roof, surface, silicone, water, change, means, manner, solid, herbicide, oxidation, rain, hill, practice, leakage, percent, loss, farmer, joint, growth, cloth, coating, asphalt, composition, temperature, nature, elastomer, catchment, hillside, sunlight, development, collection, rainwater, liquid, cistern, runoff, soil, membrane, weight, cause, area, air, method, storage, inability, amount, flaw, vegetation, desert, contour, home, ground, dike, city, system, history, erosion, thickness, content, ditch, duct, effect, weathering, field, emulsion","cistern, dip, joint","underlying, yields, common, because, increase, used to, due to, causes, because of, to prevent","cracking, oxidation, leakage","rainwater, runoff, cities, forest, erosion, vegetation, elevation, roofs, nature, temperature, rain",dip ➔ [yields] ➔ leakage (x1),"[ALLOW] ➔ dip ➔ leakage (x1), [APPLY] ➔ dip ➔ leakage (x1), [COAT] ➔ dip ➔ leakage (x1)"
EP-0072388-B1,METHOD AND APPARATUS FOR THE REMOVAL OR PARTIAL REMOVAL OF IMPURITIES PRESENT IN FLOWING WATER WITH A FALLING GRADIENT,5,"make, define, guide, place, inhibit, use, leave, become, discharge, receive, clean, know, depend, cause, contain, impound, arrange, pass, stop, prevent, pack, disturb, absorb, flow, overlie, carry","bed, surface, sorption, gooseneck, wall, water, nitrogen, manner, process, space, exploitation, phosphorus, gravity, way, compound, pipeline, bulk, pond, energy, collecting, cm, body, order, discharge, purification, phosphoros, layer, gradient, ingredient, supply, eutrophication, filtration, claim, position, substance, regulation, system, thickness, river, axis, outlet, material","inlet, pipeline, drain","while, inhibiting, therefore, via, carry, causes, to prevent",contaminants,"bed, gradient, rivers",No sentence-level triplet found,No verb-component-failure triplet found
EP-0073741-B1,APPARATUS FOR THE REGULATION OF SEWAGE DISCHARGE,8,"collect, make, produce, characterise, dimension, drain, limit, compose, require, form, feed, avoid, use, correspond, originate, communicate, have, discharge, combine, follow, accord, consist, associate, evacuate, arrange, mount, characterize, connect, provide, prevent, fix, dispose, reduce, comprise, lead, allow, shape, absorb, flow, constitute, design","wall, zone, water, level, paddle, delivery, waste, fin, member, end, thread, reducer, guide, separation, diameter, side, grill, way, piece, sex, opening, screw, port, washing, element, collecting, communication, construction, inlet, orifice, device, discharge, segment, entry, plate, channel, adapter, formation, reference, purpose, running, plug, figure, self, example, diversion, weir, point, chamber, supply, flood, direction, groove, circulation, lodging, material, baffle, claim, quantity, drainage, curve, devic, shape, mold, invention, spillway, series, difference, pipe, section, flange, junction, overflow, outlet, path","drainage channel, inlet, reducer, spillway, flange, weir, chamber","leads to, therefore, shape, requires, associated with, to prevent",,flood,No sentence-level triplet found,No verb-component-failure triplet found
EP-0079601-B1,APPARATUS FOR SEWAGE CLARIFICATION,1,"protrude, expose","sewer, addition, length, contamination, guideway, amount, concept, guide, rake, link, consequence",,therefore,contamination,,No sentence-level triplet found,No verb-component-failure triplet found
EP-0081462-B1,"WATER-SOLUBLE ZINC AND ALUMINIUM PHTHALOCYANINES, AND THEIR USE AS PHOTO ACTIVATORS",1,"obtain, start, convert, see","compound, part, conversion, description, ci, process, group, sulfochloride, hydrolysis, acid, formula",,prior to,hydrolysis,,No sentence-level triplet found,No verb-component-failure triplet found
EP-0084398-B1,DISCHARGE PIT HAVING A WATER TRAP,5,"define, perforate, include, support, say, construct, form, seal, emphasize, move, describe, relate, characterize, connect, provide, achieve, remain, maintain, comprise, connencte, adapt, adjust, carry, extend, impose, direct","water, embodiment, manner, end, rim, tube, dimension, height, relationship, opening, standard, stub, housing, order, discharge, factory, view, preamble, type, pot, lid, incorporation, purpose, authority, sealing, part, ring, position, difference, invention, condition, pipe, object, trap, pit",discharge pipe,"thus, common, imposed by, while",pit,lid,"discharge pipe ➔ [while] ➔ pit (x2), discharge pipe ➔ [thus] ➔ pit (x2)","[DEFINE] ➔ discharge pipe ➔ pit (x3), [PROVIDE] ➔ discharge pipe ➔ pit (x3), [SAY] ➔ discharge pipe ➔ pit (x3)"
EP-0088468-B1,HEAT PUMP,33,"transfer, produce, resultant, desublimize, remove, situate, use, correspond, fill, circulate, receive, discharge, result, know, pass, remain, supply, maintain, condense, depict, utilize, prevail, come, remark, develop, serve, make, give, transport, require, form, close, aim, continue, overcome, leave, heat, charge, evacuate, contain, characterize, provide, work, introduce, point, mention, divide, comprise, deliver, rise, absorb, enter, say, reverse, bring, evaporate, have, dissolve, follow, accord, concern, connect, withstand, wash, drop, keep, include, defrost, drive, feed, take, incorporate, freeze, want, preheat, isolate, cool, withdraw, cause, arrange, do, lead, promote, design, store, desublimate, mean, melt, extract","freon, hand, wall, transfer, seawater, pump, volume, contact, vapor, sea, use, vapour, production, intensity, kj, brackish, order, result, product, groundwater, gradient, fountain, ice, size, supply, circulation, corrosion, outside, flow, alteration, condition, fluid, requirement, warming, compression, motor, noise, surface, boiling, season, vessel, accumulator, kg, transport, throttling, contradiction, extraction, heat, time, liquid, layer, block, formation, reduction, pressure, charge, condensor, movement, moment, air, solution, cycle, point, condensation, evaporator, direction, part, complication, heatflow, rate, power, crystal, medium, tube, suction, case, vacuum, side, type, plate, exchanger, solidification, method, ata, density, circuit, subpressure, evaporation, melting, scale, invention, stirring, drop, defrosting, introduction, phase, level, water, means, disadvantage, place, compressor, flash, absorption, slurry, temperature, instance, exchange, source, connection, gas, operation, suspension, mean, step","discharge pipe, pump, vessel, heat exchanger, valve, accumulator","resulting from, thus, bringing, consequently, while, therefore, as a result of, common, because, driven by, lead to, requires, may, receive, due to, causes, remove, thereby","freezing, corrosion","ice formation, hand, temperature, temperature gradient","accumulator ➔ [may] ➔ corrosion (x1), vessel ➔ [may] ➔ corrosion (x1), heat exchanger ➔ [may] ➔ corrosion (x1)","[FORM] ➔ accumulator ➔ corrosion (x1), [FORM] ➔ vessel ➔ corrosion (x1), [USE] ➔ accumulator ➔ corrosion (x1)"
